row, id, palette, design, pose, facing, color, r, g, b, hue, sat, lum, mint
9000, 0x0059e5eba3, Normal, 89, Sleeping, Right, Yellow, 229, 235, 163, 65.00, 64.29%, 78.04%, 944
9001, 0x0059e8de22, Normal, 89, Sleeping, Right, Orange, 232, 222, 34, 56.97, 81.15%, 52.16%, 1310
9002, 0x0059e951c6, Normal, 89, Sleeping, Right, Magenta, 233, 81, 198, 313.82, 77.55%, 61.57%, 18051
9003, 0x0059ee6e54, Normal, 89, Sleeping, Right, Red, 238, 110, 84, 10.13, 81.91%, 63.14%, 13652
9004, 0x0059f01114, Normal, 89, Sleeping, Right, Fuscia, 240, 17, 20, 359.19, 88.14%, 50.39%, 23062
9005, 0x0059f063b6, Normal, 89, Sleeping, Right, Magenta, 240, 99, 182, 324.68, 82.46%, 66.47%, 21002
9006, 0x0059f115bf, Normal, 89, Sleeping, Right, Magenta, 241, 21, 191, 313.64, 88.71%, 51.37%, 13332
9007, 0x0059f31118, Normal, 89, Sleeping, Right, Fuscia, 243, 17, 24, 358.14, 90.40%, 50.98%, 16079
9008, 0x0059f532c2, Normal, 89, Sleeping, Right, Magenta, 245, 50, 194, 315.69, 90.70%, 57.84%, 23861
9009, 0x0059f87f4d, Normal, 89, Sleeping, Right, Red, 248, 127, 77, 17.54, 92.43%, 63.73%, 17644
9010, 0x0059ff55a7, Normal, 89, Sleeping, Right, Fuscia, 255, 85, 167, 331.06, 100.00%, 66.67%, 3636
9011, 0x005a010c06, Normal, 90, Pouncing, Right, Green, 1, 12, 6, 147.27, 84.62%, 2.55%, 20757
9012, 0x005a011d9c, Normal, 90, Pouncing, Right, Sky Blue, 1, 29, 156, 229.16, 98.73%, 30.78%, 706
9013, 0x005a04b1c7, Normal, 90, Pouncing, Right, Cyan, 4, 177, 199, 186.77, 96.06%, 39.80%, 332
9014, 0x005a04ee99, Normal, 90, Pouncing, Right, Lime Green, 4, 238, 153, 158.21, 96.69%, 47.45%, 4119
9015, 0x005a06315e, Normal, 90, Pouncing, Right, Sky Blue, 6, 49, 94, 210.68, 88.00%, 19.61%, 2578
9016, 0x005a06654f, Normal, 90, Pouncing, Right, Lime Green, 6, 101, 79, 166.11, 88.79%, 20.98%, 374
9017, 0x005a066669, Normal, 90, Pouncing, Right, Cyan, 6, 102, 105, 181.82, 89.19%, 21.76%, 17986
9018, 0x005a0a2b52, Normal, 90, Pouncing, Right, Sky Blue, 10, 43, 82, 212.50, 78.26%, 18.04%, 14411
9019, 0x005a0bdc78, Normal, 90, Pouncing, Right, Lime Green, 11, 220, 120, 151.29, 90.48%, 45.29%, 10004
9020, 0x005a0c5042, Normal, 90, Pouncing, Right, Lime Green, 12, 80, 66, 167.65, 73.91%, 18.04%, 22491
9021, 0x005a10ab95, Normal, 90, Pouncing, Right, Lime Green, 16, 171, 149, 171.48, 82.89%, 36.67%, 7366
9022, 0x005a10f0fe, Normal, 90, Pouncing, Right, Cyan, 16, 240, 254, 183.53, 99.17%, 52.94%, 9539
9023, 0x005a123da8, Normal, 90, Pouncing, Right, Sky Blue, 18, 61, 168, 222.80, 80.65%, 36.47%, 81
9024, 0x005a1287df, Normal, 90, Pouncing, Right, Cyan, 18, 135, 223, 205.76, 85.06%, 47.25%, 1461
9025, 0x005a163bc5, Normal, 90, Pouncing, Right, Sky Blue, 22, 59, 197, 227.31, 79.91%, 42.94%, 15038
9026, 0x005a16ed21, Normal, 90, Pouncing, Right, Green, 22, 237, 33, 123.07, 85.66%, 50.78%, 14022
9027, 0x005a173117, Normal, 90, Pouncing, Right, Green, 23, 49, 23, 120.00, 36.11%, 14.12%, 16110
9028, 0x005a1850c4, Normal, 90, Pouncing, Right, Sky Blue, 24, 80, 196, 220.47, 78.18%, 43.14%, 3468
9029, 0x005a1f47c3, Normal, 90, Pouncing, Right, Sky Blue, 31, 71, 195, 225.37, 72.57%, 44.31%, 14827
9030, 0x005a20b3bf, Normal, 90, Pouncing, Right, Cyan, 32, 179, 191, 184.53, 71.30%, 43.73%, 24788
9031, 0x005a21329a, Normal, 90, Pouncing, Right, Sky Blue, 33, 50, 154, 231.57, 64.71%, 36.67%, 3032
9032, 0x005a22623d, Normal, 90, Pouncing, Right, Green, 34, 98, 61, 145.31, 48.48%, 25.88%, 13727
9033, 0x005a24ab3f, Normal, 90, Pouncing, Right, Green, 36, 171, 63, 132.00, 65.22%, 40.59%, 16906
9034, 0x005a261f8d, Normal, 90, Pouncing, Right, Blue, 38, 31, 141, 243.82, 63.95%, 33.73%, 13259
9035, 0x005a26a2d6, Normal, 90, Pouncing, Right, Cyan, 38, 162, 214, 197.73, 69.84%, 49.41%, 12631
9036, 0x005a271d12, Normal, 90, Pouncing, Right, Orange, 39, 29, 18, 31.43, 36.84%, 11.18%, 18467
9037, 0x005a28181e, Normal, 90, Pouncing, Right, Fuscia, 40, 24, 30, 337.50, 25.00%, 12.55%, 10274
9038, 0x005a286184, Normal, 90, Pouncing, Right, Cyan, 40, 97, 132, 202.83, 53.49%, 33.73%, 10200
9039, 0x005a28bf81, Normal, 90, Pouncing, Right, Lime Green, 40, 191, 129, 155.36, 65.37%, 45.29%, 6659
9040, 0x005a2a678f, Normal, 90, Pouncing, Right, Cyan, 42, 103, 143, 203.76, 54.59%, 36.27%, 511
9041, 0x005a2b68f4, Normal, 90, Pouncing, Right, Sky Blue, 43, 104, 244, 221.79, 90.13%, 56.27%, 4378
9042, 0x005a388a8f, Normal, 90, Pouncing, Right, Cyan, 56, 138, 143, 183.45, 43.72%, 39.02%, 24112
9043, 0x005a3c007a, Normal, 90, Pouncing, Right, Blue, 60, 0, 122, 269.51, 100.00%, 23.92%, 11472
9044, 0x005a416c5f, Normal, 90, Pouncing, Right, Lime Green, 65, 108, 95, 161.86, 24.86%, 33.92%, 19109
9045, 0x005a43558a, Normal, 90, Pouncing, Right, Sky Blue, 67, 85, 138, 224.79, 34.63%, 40.20%, 21184
9046, 0x005a456729, Normal, 90, Pouncing, Right, Chartreuse, 69, 103, 41, 92.90, 43.06%, 28.24%, 18070
9047, 0x005a46c7b8, Normal, 90, Pouncing, Right, Lime Green, 70, 199, 184, 173.02, 53.53%, 52.75%, 22260
9048, 0x005a4cfdee, Normal, 90, Pouncing, Right, Lime Green, 76, 253, 238, 174.92, 97.79%, 64.51%, 4007
9049, 0x005a4d655c, Normal, 90, Pouncing, Right, Lime Green, 77, 101, 92, 157.50, 13.48%, 34.90%, 21161
9050, 0x005a4dc2b5, Normal, 90, Pouncing, Right, Lime Green, 77, 194, 181, 173.33, 48.95%, 53.14%, 3796
9051, 0x005a58ab8f, Normal, 90, Pouncing, Right, Lime Green, 88, 171, 143, 159.76, 33.07%, 50.78%, 14385
9052, 0x005a5d1263, Normal, 90, Pouncing, Right, Purple, 93, 18, 99, 295.56, 69.23%, 22.94%, 3633
9053, 0x005a5d472b, Normal, 90, Pouncing, Right, Orange, 93, 71, 43, 33.60, 36.76%, 26.67%, 22243
9054, 0x005a62fb46, Normal, 90, Pouncing, Right, Chartreuse, 98, 251, 70, 110.72, 95.77%, 62.94%, 5399
9055, 0x005a639f70, Normal, 90, Pouncing, Right, Green, 99, 159, 112, 133.00, 23.81%, 50.59%, 5184
9056, 0x005a63c381, Normal, 90, Pouncing, Right, Green, 99, 195, 129, 138.75, 44.44%, 57.65%, 11011
9057, 0x005a65ae22, Normal, 90, Pouncing, Right, Chartreuse, 101, 174, 34, 91.29, 67.31%, 40.78%, 21023
9058, 0x005a674ccb, Normal, 90, Pouncing, Right, Blue, 103, 76, 203, 252.76, 54.98%, 54.71%, 10144
9059, 0x005a67a980, Normal, 90, Pouncing, Right, Green, 103, 169, 128, 142.73, 27.73%, 53.33%, 23891
9060, 0x005a6824c8, Normal, 90, Pouncing, Right, Blue, 104, 36, 200, 264.88, 69.49%, 46.27%, 8475
9061, 0x005a6e6f2a, Normal, 90, Pouncing, Right, Yellow, 110, 111, 42, 60.87, 45.10%, 30.00%, 10801
9062, 0x005a6fe98c, Normal, 90, Pouncing, Right, Green, 111, 233, 140, 134.26, 73.49%, 67.45%, 11232
9063, 0x005a709748, Normal, 90, Pouncing, Right, Yellow, 112, 151, 72, 89.62, 35.43%, 43.73%, 14112
9064, 0x005a70cf00, Normal, 90, Pouncing, Right, Yellow, 112, 207, 0, 87.54, 100.00%, 40.59%, 1859
9065, 0x005a73d1df, Normal, 90, Pouncing, Right, Cyan, 115, 209, 223, 187.78, 62.79%, 66.27%, 15041
9066, 0x005a7607ab, Normal, 90, Pouncing, Right, Purple, 118, 7, 171, 280.61, 92.13%, 34.90%, 15595
9067, 0x005a76229c, Normal, 90, Pouncing, Right, Purple, 118, 34, 156, 281.31, 64.21%, 37.25%, 6647
9068, 0x005a78bcf2, Normal, 90, Pouncing, Right, Cyan, 120, 188, 242, 206.56, 82.43%, 70.98%, 15415
9069, 0x005a7dfe79, Normal, 90, Pouncing, Right, Chartreuse, 125, 254, 121, 118.20, 98.52%, 73.53%, 21656
9070, 0x005a7e63f4, Normal, 90, Pouncing, Right, Blue, 126, 99, 244, 251.17, 86.83%, 67.25%, 21856
