row, id, palette, design, pose, facing, color, r, g, b, hue, sat, lum, mint
17000, 0x00aa6334d5, Inverted, 42, Pouncing, Left, Blue, 99, 52, 213, 257.52, 65.71%, 51.96%, 9764
17001, 0x00aa648509, Inverted, 42, Pouncing, Left, Yellow, 100, 133, 9, 75.97, 87.32%, 27.84%, 14053
17002, 0x00aa661cc4, Inverted, 42, Pouncing, Left, Blue, 102, 28, 196, 266.43, 75.00%, 43.92%, 15256
17003, 0x00aa693260, Inverted, 42, Pouncing, Left, Magenta, 105, 50, 96, 309.82, 35.48%, 30.39%, 13500
17004, 0x00aa6bc5e2, Inverted, 42, Pouncing, Left, Cyan, 107, 197, 226, 194.62, 67.23%, 65.29%, 24096
17005, 0x00aa6c2ec0, Inverted, 42, Pouncing, Left, Blue, 108, 46, 192, 265.48, 61.34%, 46.67%, 16956
17006, 0x00aa6caf5b, Inverted, 42, Pouncing, Left, Chartreuse, 108, 175, 91, 107.86, 34.43%, 52.16%, 5334
17007, 0x00aa6cd3ad, Inverted, 42, Pouncing, Left, Lime Green, 108, 211, 173, 157.86, 53.93%, 62.55%, 18836
17008, 0x00aa6e276b, Inverted, 42, Pouncing, Left, Magenta, 110, 39, 107, 302.54, 47.65%, 29.22%, 1818
17009, 0x00aa7056f6, Inverted, 42, Pouncing, Left, Blue, 112, 86, 246, 249.75, 89.89%, 65.10%, 19641
17010, 0x00aa763bf8, Inverted, 42, Pouncing, Left, Blue, 118, 59, 248, 258.73, 93.10%, 60.20%, 10525
17011, 0x00aa76de3d, Inverted, 42, Pouncing, Left, Chartreuse, 118, 222, 61, 98.76, 70.93%, 55.49%, 1659
17012, 0x00aa7b55cc, Inverted, 42, Pouncing, Left, Blue, 123, 85, 204, 259.16, 53.85%, 56.67%, 22941
17013, 0x00aa810f84, Inverted, 42, Pouncing, Left, Purple, 129, 15, 132, 298.46, 79.59%, 28.82%, 3911
17014, 0x00aa863fe2, Inverted, 42, Pouncing, Left, Blue, 134, 63, 226, 266.13, 73.76%, 56.67%, 3156
17015, 0x00aa8674d7, Inverted, 42, Pouncing, Left, Blue, 134, 116, 215, 250.91, 55.31%, 64.90%, 24924
17016, 0x00aa87664a, Inverted, 42, Pouncing, Left, Red, 135, 102, 74, 27.54, 29.19%, 40.98%, 19301
17017, 0x00aa877a2d, Inverted, 42, Pouncing, Left, Orange, 135, 122, 45, 51.33, 50.00%, 35.29%, 14366
17018, 0x00aa889f1c, Inverted, 42, Pouncing, Left, Yellow, 136, 159, 28, 70.53, 70.05%, 36.67%, 8784
17019, 0x00aa89a63f, Inverted, 42, Pouncing, Left, Yellow, 137, 166, 63, 76.89, 44.98%, 44.90%, 8210
17020, 0x00aa8ad6db, Inverted, 42, Pouncing, Left, Cyan, 138, 214, 219, 183.70, 52.94%, 70.00%, 634
17021, 0x00aa8b4ea0, Inverted, 42, Pouncing, Left, Purple, 139, 78, 160, 284.63, 34.45%, 46.67%, 23932
17022, 0x00aa8d175f, Inverted, 42, Pouncing, Left, Magenta, 141, 23, 95, 323.39, 71.95%, 32.16%, 8865
17023, 0x00aa8d20bf, Inverted, 42, Pouncing, Left, Purple, 141, 32, 191, 281.13, 71.30%, 43.73%, 1924
17024, 0x00aa8e7d2f, Inverted, 42, Pouncing, Left, Orange, 142, 125, 47, 49.26, 50.26%, 37.06%, 22155
17025, 0x00aa8e87cf, Inverted, 42, Pouncing, Left, Blue, 142, 135, 207, 245.83, 42.86%, 67.06%, 11938
17026, 0x00aa8f644a, Inverted, 42, Pouncing, Left, Red, 143, 100, 74, 22.61, 31.80%, 42.55%, 4924
17027, 0x00aa90754f, Inverted, 42, Pouncing, Left, Orange, 144, 117, 79, 35.08, 29.15%, 43.73%, 14223
17028, 0x00aa92b93f, Inverted, 42, Pouncing, Left, Yellow, 146, 185, 63, 79.18, 49.19%, 48.63%, 21972
17029, 0x00aa95e34c, Inverted, 42, Pouncing, Left, Chartreuse, 149, 227, 76, 90.99, 72.95%, 59.41%, 19270
17030, 0x00aa9ad0f9, Inverted, 42, Pouncing, Left, Cyan, 154, 208, 249, 205.89, 88.79%, 79.02%, 496
17031, 0x00aa9bd90b, Inverted, 42, Pouncing, Left, Yellow, 155, 217, 11, 78.06, 90.35%, 44.71%, 17044
17032, 0x00aa9e137b, Inverted, 42, Pouncing, Left, Magenta, 158, 19, 123, 315.11, 78.53%, 34.71%, 17348
17033, 0x00aa9e3d70, Inverted, 42, Pouncing, Left, Magenta, 158, 61, 112, 328.45, 44.29%, 42.94%, 21951
17034, 0x00aa9e98bc, Inverted, 42, Pouncing, Left, Blue, 158, 152, 188, 250.00, 21.18%, 66.67%, 15680
17035, 0x00aa9f3f9a, Inverted, 42, Pouncing, Left, Magenta, 159, 63, 154, 303.12, 43.24%, 43.53%, 18921
17036, 0x00aaa4f678, Inverted, 42, Pouncing, Left, Chartreuse, 164, 246, 120, 99.05, 87.50%, 71.76%, 1511
17037, 0x00aaab4829, Inverted, 42, Pouncing, Left, Red, 171, 72, 41, 14.31, 61.32%, 41.57%, 22709
17038, 0x00aaac8ad0, Inverted, 42, Pouncing, Left, Blue, 172, 138, 208, 269.14, 42.68%, 67.84%, 10523
17039, 0x00aaae8f7d, Inverted, 42, Pouncing, Left, Red, 174, 143, 125, 22.04, 23.22%, 58.63%, 24432
17040, 0x00aab61a75, Inverted, 42, Pouncing, Left, Magenta, 182, 26, 117, 325.00, 75.00%, 40.78%, 3698
17041, 0x00aabbecb7, Inverted, 42, Pouncing, Left, Chartreuse, 187, 236, 183, 115.47, 58.24%, 82.16%, 13367
17042, 0x00aabf9960, Inverted, 42, Pouncing, Left, Orange, 191, 153, 96, 36.00, 42.60%, 56.27%, 4838
17043, 0x00aac17fd2, Inverted, 42, Pouncing, Left, Purple, 193, 127, 210, 287.71, 47.98%, 66.08%, 8974
17044, 0x00aac462cf, Inverted, 42, Pouncing, Left, Purple, 196, 98, 207, 293.94, 53.17%, 59.80%, 8354
17045, 0x00aacb313a, Inverted, 42, Pouncing, Left, Fuscia, 203, 49, 58, 356.49, 61.11%, 49.41%, 6899
17046, 0x00aacd5c76, Inverted, 42, Pouncing, Left, Fuscia, 205, 92, 118, 346.19, 53.05%, 58.24%, 19033
17047, 0x00aacf8914, Inverted, 42, Pouncing, Left, Orange, 207, 137, 20, 37.54, 82.38%, 44.51%, 24391
17048, 0x00aad30bb8, Inverted, 42, Pouncing, Left, Magenta, 211, 11, 184, 308.10, 90.09%, 43.53%, 5887
17049, 0x00aad97373, Inverted, 42, Pouncing, Left, Red, 217, 115, 115, 0.00, 57.30%, 65.10%, 5156
17050, 0x00aada9f09, Inverted, 42, Pouncing, Left, Orange, 218, 159, 9, 43.06, 92.07%, 44.51%, 20251
17051, 0x00aae0807f, Inverted, 42, Pouncing, Left, Red, 224, 128, 127, 0.62, 61.01%, 68.82%, 20685
17052, 0x00aaea2cc4, Inverted, 42, Pouncing, Left, Magenta, 234, 44, 196, 312.00, 81.90%, 54.51%, 12642
17053, 0x00aaea806b, Inverted, 42, Pouncing, Left, Red, 234, 128, 107, 9.92, 75.15%, 66.86%, 23003
17054, 0x00aaed5d94, Inverted, 42, Pouncing, Left, Fuscia, 237, 93, 148, 337.08, 80.00%, 64.71%, 7477
17055, 0x00aaeec806, Inverted, 42, Pouncing, Left, Orange, 238, 200, 6, 50.17, 95.08%, 47.84%, 2643
17056, 0x00aaf52841, Inverted, 42, Pouncing, Left, Fuscia, 245, 40, 65, 352.68, 91.11%, 55.88%, 18409
17057, 0x00aaf72cf9, Inverted, 42, Pouncing, Left, Purple, 247, 44, 249, 299.41, 94.47%, 57.45%, 16275
17058, 0x00aaf7c8b0, Inverted, 42, Pouncing, Left, Red, 247, 200, 176, 20.28, 81.61%, 82.94%, 23653
17059, 0x00aaf7df64, Inverted, 42, Pouncing, Left, Orange, 247, 223, 100, 50.20, 90.18%, 68.04%, 13986
17060, 0x00aafc0a95, Inverted, 42, Pouncing, Left, Magenta, 252, 10, 149, 325.54, 97.58%, 51.37%, 25217
