row, id, palette, pattern, pose, facing, face, fur, color, r, g, b, hue, sat, lum, mint
5000, 0x0031e61d26, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Fuscia, 230, 29, 38, 357.31°, 80.08%, 50.78%, 13087
5001, 0x0031e71610, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Red, 231, 22, 16, 1.67°, 87.04%, 48.43%, 5277
5002, 0x0031e9e33a, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Orange, 233, 227, 58, 57.94°, 79.91%, 57.06%, 5491
5003, 0x0031ea8662, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Red, 234, 134, 98, 15.88°, 76.40%, 65.10%, 6232
5004, 0x0031eca341, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Orange, 236, 163, 65, 34.39°, 81.82%, 59.02%, 24247
5005, 0x0031ee81c4, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Magenta, 238, 129, 196, 323.12°, 76.22%, 71.96%, 15666
5006, 0x0031eeaa6c, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Red, 238, 170, 108, 28.62°, 79.27%, 67.84%, 25337
5007, 0x0031f2d898, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Orange, 242, 216, 152, 42.67°, 77.59%, 77.25%, 11672
5008, 0x0031f56dd5, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Magenta, 245, 109, 213, 314.12°, 87.18%, 69.41%, 21986
5009, 0x0031f5bf69, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Orange, 245, 191, 105, 36.86°, 87.50%, 68.63%, 11004
5010, 0x0031f71e5d, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Fuscia, 247, 30, 93, 342.58°, 93.13%, 54.31%, 18182
5011, 0x0031f7885b, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Red, 247, 136, 91, 17.31°, 90.70%, 66.27%, 6891
5012, 0x0031f88159, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Red, 248, 129, 89, 15.09°, 91.91%, 66.08%, 406
5013, 0x0031fe73b5, Normal, 49, Sleeping, Left, Flat Whiskers, Solid, Fuscia, 254, 115, 181, 331.51°, 98.58%, 72.35%, 20387
5014, 0x003200f98c, Normal, 50, Pouncing, Left, Flat Whiskers, Solid, Lime Green, 0, 249, 140, 153.73°, 100.00%, 48.82%, 17895
5015, 0x003201f5c5, Normal, 50, Pouncing, Left, Flat Whiskers, Solid, Lime Green, 1, 245, 197, 168.20°, 99.19%, 48.24%, 5281
5016, 0x0032029106, Normal, 50, Pouncing, Left, Flat Whiskers, Solid, Green, 2, 145, 6, 121.68°, 97.28%, 28.82%, 24406
5017, 0x003203016b, Normal, 50, Pouncing, Left, Flat Whiskers, Solid, Blue, 3, 1, 107, 241.13°, 98.15%, 21.18%, 4656
5018, 0x0032030cfd, Normal, 50, Pouncing, Left, Flat Whiskers, Solid, Sky Blue, 3, 12, 253, 237.84°, 98.43%, 50.20%, 18052
