row, id, palette, design, pose, facing, face, fur, color, hue, mint, timestamp, block
18000, 0x00b4349caa, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Cyan, 187°, 23752, 2021-03-12 18:34:41 UTC, 12025333
18001, 0x00b4365a93, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Sky Blue, 217°, 5416, 2018-04-19 23:46:12 UTC, 5471134
18002, 0x00b43da66e, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Teal, 148°, 9828, 2021-03-12 17:21:26 UTC, 12024968
18003, 0x00b4477b14, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Chartreuse, 90°, 4635, 2018-03-25 20:18:34 UTC, 5321111
18004, 0x00b44791d6, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Sky Blue, 209°, 21897, 2021-03-12 18:27:16 UTC, 12025298
18005, 0x00b44a9785, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Cyan, 166°, 716, 2017-08-11 11:01:40 UTC, 4144115
18006, 0x00b44eaebb, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Cyan, 187°, 19175, 2021-03-12 18:17:19 UTC, 12025241
18007, 0x00b44f1cea, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Purple, 255°, 3179, 2017-12-16 00:50:22 UTC, 4739887
18008, 0x00b4503d36, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Orange, 16°, 21684, 2021-03-12 18:26:17 UTC, 12025293
18009, 0x00b450db08, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Chartreuse, 100°, 24164, 2021-03-12 18:36:31 UTC, 12025340
18010, 0x00b456d60b, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Chartreuse, 98°, 18163, 2021-03-12 18:14:16 UTC, 12025220
18011, 0x00b4571dd2, Inverted, 52, Standing, Left, Flat Whiskers, Striped, Purple, 259°, 4178, 2018-03-21 02:50:33 UTC, 5292777
