row, id, palette, design, pose, facing, face, fur, color, hue, mint, timestamp, block
2000, 0x0013b72770, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Fuchsia, 330°, 24148, 2021-03-12 18:36:31 UTC, 12025340
2001, 0x0013bb8010, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Orange, 39°, 11205, 2021-03-12 17:32:38 UTC, 12025019
2002, 0x0013be1d95, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Fuchsia, 315°, 20073, 2021-03-12 18:20:23 UTC, 12025258
2003, 0x0013c13374, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Fuchsia, 333°, 2781, 2017-09-13 02:23:09 UTC, 4267985
2004, 0x0013c22543, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 349°, 4524, 2018-03-23 06:41:21 UTC, 5305684
2005, 0x0013c4309b, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Fuchsia, 317°, 11461, 2021-03-12 17:34:42 UTC, 12025028
2006, 0x0013c59ef1, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Purple, 268°, 9713, 2021-03-12 17:21:03 UTC, 12024964
2007, 0x0013c61627, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 354°, 5921, 2021-03-12 14:50:26 UTC, 12024291
2008, 0x0013c62f08, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 12°, 9283, 2021-03-12 17:14:39 UTC, 12024945
2009, 0x0013c6db6d, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Yellow, 71°, 13542, 2021-03-12 17:46:02 UTC, 12025087
2010, 0x0013ca7afa, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Purple, 278°, 24781, 2021-03-12 18:37:45 UTC, 12025350
2011, 0x0013cc36b5, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Magenta, 309°, 761, 2017-08-11 13:18:32 UTC, 4144510
2012, 0x0013ceeff9, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Cyan, 194°, 5018, 2018-04-14 18:27:00 UTC, 5440542
2013, 0x0013cfabbb, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Fuchsia, 333°, 14004, 2021-03-12 17:47:28 UTC, 12025099
2014, 0x0013d0a810, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Yellow, 48°, 15237, 2021-03-12 17:54:28 UTC, 12025137
2015, 0x0013d21b37, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 351°, 11868, 2021-03-12 17:36:50 UTC, 12025040
2016, 0x0013d25476, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Fuchsia, 344°, 16183, 2021-03-12 18:00:46 UTC, 12025164
2017, 0x0013d3d9b9, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Yellow, 71°, 16975, 2021-03-12 18:05:58 UTC, 12025188
2018, 0x0013dd2a44, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 351°, 5957, 2021-03-12 14:53:47 UTC, 12024310
2019, 0x0013ddbdbe, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 358°, 12510, 2021-03-12 17:39:43 UTC, 12025057
2020, 0x0013de6cf2, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Magenta, 291°, 15860, 2021-03-12 17:58:41 UTC, 12025156
2021, 0x0013dfbf2d, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Yellow, 49°, 24312, 2021-03-12 18:36:53 UTC, 12025343
2022, 0x0013e0bf7f, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Orange, 40°, 903, 2017-08-11 23:58:09 UTC, 4146337
2023, 0x0013e0d681, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Yellow, 54°, 16448, 2021-03-12 18:02:14 UTC, 12025173
2024, 0x0013e22048, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 348°, 10107, 2021-03-12 17:23:40 UTC, 12024979
2025, 0x0013e6877e, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 5°, 11696, 2021-03-12 17:36:30 UTC, 12025036
2026, 0x0013ec8fe4, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Magenta, 305°, 15397, 2021-03-12 17:55:12 UTC, 12025141
2027, 0x0013ecde3e, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Yellow, 55°, 21201, 2021-03-12 18:24:01 UTC, 12025283
2028, 0x0013f2f8ae, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Yellow, 65°, 15950, 2021-03-12 17:59:40 UTC, 12025159
2029, 0x0013f466f9, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Magenta, 298°, 12794, 2021-03-12 17:41:37 UTC, 12025065
2030, 0x0013f83603, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 12°, 21606, 2021-03-12 18:25:49 UTC, 12025291
2031, 0x0013f92700, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Red, 9°, 18974, 2021-03-12 18:16:52 UTC, 12025237
2032, 0x0013f9c962, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Orange, 41°, 3949, 2018-03-19 12:36:23 UTC, 5283292
2033, 0x0013fc8b38, Normal, 19, Stalking, Left, Frown (Look Down), Solid, Orange, 25°, 2302, 2017-08-28 22:26:02 UTC, 4214263
2034, 0x0014021078, Normal, 20, Standing, Left, Frown (Look Down), Striped, Blue, 233°, 13480, 2021-03-12 17:45:58 UTC, 12025086
2035, 0x001403f663, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 144°, 10959, 2021-03-12 17:30:58 UTC, 12025011
2036, 0x00140766dd, Normal, 20, Standing, Left, Frown (Look Down), Striped, Sky Blue, 213°, 23155, 2021-03-12 18:32:39 UTC, 12025322
2037, 0x001408f7bf, Normal, 20, Standing, Left, Frown (Look Down), Striped, Cyan, 166°, 18486, 2021-03-12 18:15:02 UTC, 12025226
2038, 0x00140997af, Normal, 20, Standing, Left, Frown (Look Down), Striped, Cyan, 189°, 8212, 2021-03-12 16:58:10 UTC, 12024870
2039, 0x001409e4a6, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 163°, 2477, 2017-08-30 06:01:22 UTC, 4218931
2040, 0x00140d8533, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 139°, 873, 2017-08-11 20:41:53 UTC, 4145775
2041, 0x00140fe298, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 159°, 17265, 2021-03-12 18:07:35 UTC, 12025195
2042, 0x001411d961, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 144°, 6041, 2021-03-12 15:17:20 UTC, 12024420
2043, 0x001414db18, Normal, 20, Standing, Left, Frown (Look Down), Striped, Green, 121°, 23681, 2021-03-12 18:34:26 UTC, 12025332
2044, 0x001419b22a, Normal, 20, Standing, Left, Frown (Look Down), Striped, Green, 127°, 11046, 2021-03-12 17:31:24 UTC, 12025014
2045, 0x00141a82f0, Normal, 20, Standing, Left, Frown (Look Down), Striped, Sky Blue, 211°, 10209, 2021-03-12 17:24:02 UTC, 12024983
2046, 0x00141d8031, Normal, 20, Standing, Left, Frown (Look Down), Striped, Green, 132°, 5167, 2018-04-18 08:13:44 UTC, 5461533
2047, 0x00141f9ad5, Normal, 20, Standing, Left, Frown (Look Down), Striped, Sky Blue, 199°, 24145, 2021-03-12 18:36:31 UTC, 12025340
2048, 0x00142584cf, Normal, 20, Standing, Left, Frown (Look Down), Striped, Sky Blue, 206°, 12355, 2021-03-12 17:38:21 UTC, 12025051
2049, 0x001428519e, Normal, 20, Standing, Left, Frown (Look Down), Striped, Sky Blue, 219°, 18764, 2021-03-12 18:16:03 UTC, 12025232
2050, 0x00142acd8d, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 156°, 1166, 2017-08-13 08:46:38 UTC, 4151950
2051, 0x00142c1372, Normal, 20, Standing, Left, Frown (Look Down), Striped, Purple, 256°, 7606, 2021-03-12 16:46:53 UTC, 12024819
2052, 0x00143127f5, Normal, 20, Standing, Left, Frown (Look Down), Striped, Blue, 243°, 15577, 2021-03-12 17:56:37 UTC, 12025147
2053, 0x0014339cb6, Normal, 20, Standing, Left, Frown (Look Down), Striped, Cyan, 192°, 24609, 2021-03-12 18:37:33 UTC, 12025348
2054, 0x0014363b25, Normal, 20, Standing, Left, Frown (Look Down), Striped, Yellow, 74°, 6180, 2021-03-12 15:38:37 UTC, 12024500
2055, 0x00143c16a2, Normal, 20, Standing, Left, Frown (Look Down), Striped, Purple, 256°, 16953, 2021-03-12 18:05:24 UTC, 12025187
2056, 0x00143e2a02, Normal, 20, Standing, Left, Frown (Look Down), Striped, Orange, 40°, 16532, 2021-03-12 18:02:25 UTC, 12025175
2057, 0x001440e38f, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 149°, 4458, 2018-03-22 23:41:52 UTC, 5303941
2058, 0x0014424623, Normal, 20, Standing, Left, Frown (Look Down), Striped, Yellow, 67°, 17474, 2021-03-12 18:09:29 UTC, 12025201
2059, 0x00144376a3, Normal, 20, Standing, Left, Frown (Look Down), Striped, Sky Blue, 208°, 25246, 2021-03-12 18:39:29 UTC, 12025357
2060, 0x00144639a1, Normal, 20, Standing, Left, Frown (Look Down), Striped, Blue, 248°, 1876, 2017-08-21 17:58:17 UTC, 4186810
2061, 0x00144c41ed, Normal, 20, Standing, Left, Frown (Look Down), Striped, Blue, 244°, 7737, 2021-03-12 16:49:13 UTC, 12024833
2062, 0x001455db7a, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 137°, 18454, 2021-03-12 18:14:53 UTC, 12025225
2063, 0x0014563306, Normal, 20, Standing, Left, Frown (Look Down), Striped, Orange, 34°, 13533, 2021-03-12 17:46:02 UTC, 12025087
2064, 0x0014599f55, Normal, 20, Standing, Left, Frown (Look Down), Striped, Green, 117°, 7746, 2021-03-12 16:49:23 UTC, 12024834
2065, 0x00145a49ba, Normal, 20, Standing, Left, Frown (Look Down), Striped, Blue, 249°, 23750, 2021-03-12 18:34:41 UTC, 12025333
2066, 0x00145ccfde, Normal, 20, Standing, Left, Frown (Look Down), Striped, Cyan, 187°, 21728, 2021-03-12 18:26:34 UTC, 12025294
2067, 0x001463984f, Normal, 20, Standing, Left, Frown (Look Down), Striped, Chartreuse, 104°, 18506, 2021-03-12 18:15:02 UTC, 12025226
2068, 0x001466a041, Normal, 20, Standing, Left, Frown (Look Down), Striped, Chartreuse, 97°, 21327, 2021-03-12 18:25:06 UTC, 12025286
2069, 0x001468a049, Normal, 20, Standing, Left, Frown (Look Down), Striped, Chartreuse, 99°, 24492, 2021-03-12 18:37:08 UTC, 12025346
2070, 0x001469b9d6, Normal, 20, Standing, Left, Frown (Look Down), Striped, Sky Blue, 196°, 13235, 2021-03-12 17:43:45 UTC, 12025078
2071, 0x001469fef9, Normal, 20, Standing, Left, Frown (Look Down), Striped, Cyan, 178°, 20172, 2021-03-12 18:20:27 UTC, 12025260
2072, 0x00146ef1cf, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 164°, 21054, 2021-03-12 18:23:24 UTC, 12025280
2073, 0x00146f9c92, Normal, 20, Standing, Left, Frown (Look Down), Striped, Cyan, 167°, 21842, 2021-03-12 18:27:01 UTC, 12025297
2074, 0x001477ec86, Normal, 20, Standing, Left, Frown (Look Down), Striped, Green, 128°, 4745, 2018-03-26 05:06:14 UTC, 5323365
2075, 0x00147979d9, Normal, 20, Standing, Left, Frown (Look Down), Striped, Blue, 240°, 1086, 2017-08-12 19:51:26 UTC, 4149777
2076, 0x00147a54a7, Normal, 20, Standing, Left, Frown (Look Down), Striped, Purple, 267°, 9695, 2021-03-12 17:20:39 UTC, 12024963
2077, 0x00147d7c79, Normal, 20, Standing, Left, Frown (Look Down), Striped, Yellow, 45°, 15062, 2021-03-12 17:53:50 UTC, 12025133
2078, 0x00147ec4b6, Normal, 20, Standing, Left, Frown (Look Down), Striped, Cyan, 168°, 354, 2017-08-10 19:49:56 UTC, 4141548
2079, 0x00148246c5, Normal, 20, Standing, Left, Frown (Look Down), Striped, Purple, 268°, 18959, 2021-03-12 18:16:52 UTC, 12025237
2080, 0x00148351cb, Normal, 20, Standing, Left, Frown (Look Down), Striped, Purple, 265°, 15532, 2021-03-12 17:56:35 UTC, 12025145
2081, 0x001485e3c8, Normal, 20, Standing, Left, Frown (Look Down), Striped, Teal, 163°, 5723, 2019-04-08 02:06:32 UTC, 7524674
2082, 0x00148b8c43, Normal, 20, Standing, Left, Frown (Look Down), Striped, Yellow, 61°, 17181, 2021-03-12 18:07:32 UTC, 12025194
2083, 0x00148e5e55, Normal, 20, Standing, Left, Frown (Look Down), Striped, Red, 9°, 1443, 2017-08-16 02:23:03 UTC, 4163222
2084, 0x0014908a17, Normal, 20, Standing, Left, Frown (Look Down), Striped, Yellow, 57°, 7357, 2021-03-12 16:41:37 UTC, 12024794
