id, palette, k, r, g, b, hue, sat, lum
0x003b683f72, Normal, 59, 104, 63, 114, 288.2352941176471, 0.288135593220339, 0.34705882352941175
0x003b6d18a6, Normal, 59, 109, 24, 166, 275.9154929577465, 0.7473684210526316, 0.37254901960784315
0x003b739416, Normal, 59, 115, 148, 22, 75.71428571428571, 0.7411764705882352, 0.33333333333333337
0x003b7551e7, Normal, 59, 117, 81, 231, 254.4, 0.7575757575757577, 0.611764705882353
0x003b791842, Normal, 59, 121, 24, 66, 334.02061855670104, 0.6689655172413793, 0.28431372549019607
0x003b794ce2, Normal, 59, 121, 76, 226, 258, 0.721153846153846, 0.592156862745098
0x003b7a4d1c, Normal, 59, 122, 77, 28, 31.276595744680847, 0.6266666666666667, 0.29411764705882354
0x003b7b288b, Normal, 59, 123, 40, 139, 290.3030303030303, 0.553072625698324, 0.3509803921568627
0x003b8007ab, Normal, 59, 128, 7, 171, 284.26829268292687, 0.9213483146067415, 0.34901960784313724
0x003b8018d4, Normal, 59, 128, 24, 212, 273.1914893617021, 0.7966101694915254, 0.4627450980392157
0x003b807dbd, Normal, 59, 128, 125, 189, 242.8125, 0.32653061224489804, 0.615686274509804
0x003b82075d, Normal, 59, 130, 7, 93, 318.0487804878049, 0.8978102189781021, 0.26862745098039215
0x003b838827, Normal, 59, 131, 136, 39, 63.09278350515466, 0.5542857142857143, 0.3431372549019608
0x003b84e25f, Normal, 59, 132, 226, 95, 103.05343511450381, 0.693121693121693, 0.6294117647058823
0x003b86289f, Normal, 59, 134, 40, 159, 287.39495798319325, 0.5979899497487438, 0.39019607843137255
0x003b86b614, Normal, 59, 134, 182, 20, 77.77777777777777, 0.8019801980198019, 0.39607843137254906
0x003b89f677, Normal, 59, 137, 246, 119, 111.49606299212599, 0.8758620689655173, 0.7156862745098039
0x003b90c07b, Normal, 59, 144, 192, 123, 101.73913043478261, 0.35384615384615387, 0.6176470588235294
0x003b92f2eb, Normal, 59, 146, 242, 235, 175.62499999999997, 0.7868852459016392, 0.7607843137254902
0x003b939b8e, Normal, 59, 147, 155, 142, 96.92307692307698, 0.06103286384976516, 0.5823529411764705
0x003b96e5c8, Normal, 59, 150, 229, 200, 157.9746835443038, 0.6030534351145039, 0.7431372549019608
0x003b99674d, Normal, 59, 153, 103, 77, 20.526315789473692, 0.3304347826086957, 0.4509803921568627
0x003b9a78e2, Normal, 59, 154, 120, 226, 259.24528301886795, 0.6463414634146342, 0.6784313725490196
0x003b9a95c5, Normal, 59, 154, 149, 197, 246.24999999999997, 0.29268292682926833, 0.6784313725490196
0x003b9b7009, Normal, 59, 155, 112, 9, 42.328767123287676, 0.8902439024390244, 0.32156862745098036
0x003b9bc7e7, Normal, 59, 155, 199, 231, 205.26315789473685, 0.6129032258064516, 0.7568627450980392
0x003ba8b8a3, Normal, 59, 168, 184, 163, 105.71428571428568, 0.12883435582822092, 0.6803921568627451
0x003ba9589e, Normal, 59, 169, 88, 158, 308.14814814814815, 0.3201581027667984, 0.503921568627451
0x003baa09a0, Normal, 59, 170, 9, 160, 303.72670807453414, 0.8994413407821229, 0.3509803921568627
0x003baaae79, Normal, 59, 170, 174, 121, 64.52830188679246, 0.24651162790697675, 0.5784313725490196
0x003bab6210, Normal, 59, 171, 98, 16, 31.741935483870975, 0.8288770053475936, 0.36666666666666664
0x003bae8776, Normal, 59, 174, 135, 118, 18.214285714285708, 0.2568807339449541, 0.5725490196078431
0x003bae8f33, Normal, 59, 174, 143, 51, 44.8780487804878, 0.5466666666666667, 0.4411764705882353
0x003bafacc3, Normal, 59, 175, 172, 195, 247.82608695652172, 0.16083916083916067, 0.7196078431372549
0x003bb69d00, Normal, 59, 182, 157, 0, 51.75824175824176, 1, 0.3568627450980392
0x003bbc2fe8, Normal, 59, 188, 47, 232, 285.72972972972974, 0.800865800865801, 0.5470588235294118
0x003bbfdb7c, Normal, 59, 191, 219, 124, 77.6842105263158, 0.5688622754491016, 0.6725490196078431
0x003bc0ee5f, Normal, 59, 192, 238, 95, 79.3006993006993, 0.807909604519774, 0.6529411764705882
0x003bc26c70, Normal, 59, 194, 108, 112, 357.2093023255814, 0.41346153846153844, 0.592156862745098
0x003bc48c88, Normal, 59, 196, 140, 136, 4.000000000000013, 0.33707865168539336, 0.6509803921568628
0x003bc8430f, Normal, 59, 200, 67, 15, 16.864864864864867, 0.8604651162790697, 0.4215686274509804
0x003bcbb20c, Normal, 59, 203, 178, 12, 52.14659685863874, 0.8883720930232559, 0.42156862745098034
0x003bcd9015, Normal, 59, 205, 144, 21, 40.108695652173914, 0.8141592920353982, 0.4431372549019608
0x003bcf0320, Normal, 59, 207, 3, 32, 351.47058823529414, 0.9714285714285715, 0.4117647058823529
0x003bcfc33b, Normal, 59, 207, 195, 59, 55.13513513513513, 0.6065573770491803, 0.5215686274509804
0x003bd694f0, Normal, 59, 214, 148, 240, 283.04347826086956, 0.7540983606557374, 0.7607843137254902
0x003bd83d6d, Normal, 59, 216, 61, 109, 341.4193548387097, 0.6652360515021458, 0.5431372549019607
0x003bda9c64, Normal, 59, 218, 156, 100, 28.474576271186447, 0.6145833333333333, 0.6235294117647059
0x003bdb6779, Normal, 59, 219, 103, 121, 350.6896551724138, 0.6170212765957446, 0.6313725490196078
0x003bdbfae7, Normal, 59, 219, 250, 231, 143.22580645161293, 0.7560975609756094, 0.9196078431372549
0x003bddfbf8, Normal, 59, 221, 251, 248, 174.00000000000003, 0.7894736842105262, 0.9254901960784314
0x003be30330, Normal, 59, 227, 3, 48, 347.94642857142856, 0.9739130434782609, 0.4509803921568627
0x003be33fe0, Normal, 59, 227, 63, 224, 301.0975609756098, 0.7454545454545454, 0.5686274509803921
0x003be40d0c, Normal, 59, 228, 13, 12, 0.2777777777777778, 0.9000000000000001, 0.47058823529411764
0x003beb8aad, Normal, 59, 235, 138, 173, 338.35051546391753, 0.7080291970802918, 0.7313725490196078
0x003beed238, Normal, 59, 238, 210, 56, 50.76923076923076, 0.8425925925925926, 0.5764705882352941
0x003bf7346d, Normal, 59, 247, 52, 109, 342.46153846153845, 0.9241706161137441, 0.5862745098039216
0x003bf999d2, Normal, 59, 249, 153, 210, 324.375, 0.8888888888888887, 0.788235294117647
0x003bfb6eb6, Normal, 59, 251, 110, 182, 329.36170212765956, 0.9463087248322144, 0.7078431372549019
0x003c00147e, Normal, 60, 0, 20, 126, 230.47619047619048, 1, 0.24705882352941178
0x003c00e78b, Normal, 60, 0, 231, 139, 156.1038961038961, 1, 0.45294117647058824
0x003c03635f, Normal, 60, 3, 99, 95, 177.5, 0.9411764705882353, 0.2
0x003c03e716, Normal, 60, 3, 231, 22, 125.00000000000001, 0.9743589743589745, 0.4588235294117647
0x003c067692, Normal, 60, 6, 118, 146, 192, 0.9210526315789472, 0.2980392156862745
0x003c06bff3, Normal, 60, 6, 191, 243, 193.1645569620253, 0.9518072289156626, 0.48823529411764705
0x003c07ddc5, Normal, 60, 7, 221, 197, 173.2710280373832, 0.9385964912280701, 0.4470588235294118
0x003c08eaa8, Normal, 60, 8, 234, 168, 162.4778761061947, 0.9338842975206612, 0.4745098039215686
0x003c160dbe, Normal, 60, 22, 13, 190, 243.0508474576271, 0.8719211822660098, 0.39803921568627454
0x003c195b02, Normal, 60, 25, 91, 2, 104.49438202247191, 0.9569892473118278, 0.1823529411764706
0x003c19b937, Normal, 60, 25, 185, 55, 131.25, 0.761904761904762, 0.4117647058823529
0x003c1b6658, Normal, 60, 27, 102, 88, 168.8, 0.5813953488372093, 0.2529411764705882
0x003c1c1144, Normal, 60, 28, 17, 68, 252.94117647058823, 0.6000000000000002, 0.16666666666666666
0x003c1ec2ab, Normal, 60, 30, 194, 171, 171.58536585365854, 0.7321428571428571, 0.4392156862745098
0x003c2098ea, Normal, 60, 32, 152, 234, 204.35643564356434, 0.8278688524590162, 0.5215686274509803
0x003c243264, Normal, 60, 36, 50, 100, 226.875, 0.47058823529411764, 0.26666666666666666
0x003c250b49, Normal, 60, 37, 11, 73, 265.16129032258067, 0.7380952380952381, 0.16470588235294117
0x003c2ffc8b, Normal, 60, 47, 252, 139, 146.9268292682927, 0.9715639810426542, 0.5862745098039216
0x003c3949cd, Normal, 60, 57, 73, 205, 233.51351351351352, 0.5967741935483872, 0.5137254901960785
0x003c3c1794, Normal, 60, 60, 23, 148, 257.76, 0.7309941520467836, 0.33529411764705885
0x003c4c8beb, Normal, 60, 76, 139, 235, 216.22641509433961, 0.7989949748743718, 0.6098039215686274
0x003c4d45f7, Normal, 60, 77, 69, 247, 242.69662921348316, 0.9175257731958762, 0.6196078431372549
0x003c4f7d9a, Normal, 60, 79, 125, 154, 203.2, 0.32188841201716734, 0.4568627450980392
0x003c4fc3f3, Normal, 60, 79, 195, 243, 197.5609756097561, 0.8723404255319147, 0.6313725490196078
0x003c551197, Normal, 60, 85, 17, 151, 270.44776119402985, 0.7976190476190477, 0.32941176470588235
0x003c559ca3, Normal, 60, 85, 156, 163, 185.38461538461536, 0.31451612903225806, 0.4862745098039215
0x003c58af23, Normal, 60, 88, 175, 35, 97.28571428571429, 0.6666666666666667, 0.4117647058823529
0x003c596e81, Normal, 60, 89, 110, 129, 208.49999999999997, 0.1834862385321101, 0.42745098039215684
0x003c5a5184, Normal, 60, 90, 81, 132, 250.58823529411765, 0.23943661971830993, 0.4176470588235294
0x003c5d0388, Normal, 60, 93, 3, 136, 280.6015037593985, 0.9568345323741009, 0.2725490196078431
0x003c5d4f13, Normal, 60, 93, 79, 19, 48.64864864864865, 0.6607142857142857, 0.2196078431372549
0x003c6276d0, Normal, 60, 98, 118, 208, 229.0909090909091, 0.5392156862745098, 0.6
0x003c63354a, Normal, 60, 99, 53, 74, 332.6086956521739, 0.3026315789473684, 0.2980392156862745
0x003c63e093, Normal, 60, 99, 224, 147, 143.04, 0.6684491978609625, 0.6333333333333333
0x003c641a5a, Normal, 60, 100, 26, 90, 308.1081081081081, 0.5873015873015872, 0.24705882352941178
0x003c6599de, Normal, 60, 101, 153, 222, 214.21487603305786, 0.6470588235294118, 0.6333333333333333
0x003c664783, Normal, 60, 102, 71, 131, 271, 0.29702970297029696, 0.396078431372549
0x003c667c1c, Normal, 60, 102, 124, 28, 73.74999999999999, 0.631578947368421, 0.2980392156862745
0x003c68ea06, Normal, 60, 104, 234, 6, 94.21052631578948, 0.95, 0.47058823529411764
0x003c69676f, Normal, 60, 105, 103, 111, 254.99999999999994, 0.037383177570093455, 0.4196078431372549
0x003c7330a6, Normal, 60, 115, 48, 166, 274.06779661016947, 0.5514018691588786, 0.4196078431372549
0x003c75f79e, Normal, 60, 117, 247, 158, 138.92307692307693, 0.8904109589041096, 0.7137254901960784
0x003c78b848, Normal, 60, 120, 184, 72, 94.28571428571428, 0.4409448818897638, 0.5019607843137255
0x003c7e9e63, Normal, 60, 126, 158, 99, 92.54237288135593, 0.233201581027668, 0.503921568627451
0x003c7f72ba, Normal, 60, 127, 114, 186, 250.83333333333331, 0.3428571428571428, 0.5882352941176471
0x003c7fe8f6, Normal, 60, 127, 232, 246, 187.05882352941177, 0.8686131386861317, 0.7313725490196079
0x003c84a288, Normal, 60, 132, 162, 136, 127.99999999999997, 0.13888888888888878, 0.5764705882352941
0x003c88047f, Normal, 60, 136, 4, 127, 304.09090909090907, 0.9428571428571426, 0.27450980392156865
0x003c8828c3, Normal, 60, 136, 40, 195, 277.1612903225806, 0.6595744680851063, 0.46078431372549017
0x003c8ca9ad, Normal, 60, 140, 169, 173, 187.27272727272728, 0.16751269035532995, 0.6137254901960785
0x003c8d6aa9, Normal, 60, 141, 106, 169, 273.3333333333333, 0.26808510638297867, 0.5392156862745098
0x003c9fe7ac, Normal, 60, 159, 231, 172, 130.83333333333334, 0.5999999999999999, 0.7647058823529411
0x003ca0b181, Normal, 60, 160, 177, 129, 81.24999999999999, 0.23529411764705882, 0.6
0x003ca1a514, Normal, 60, 161, 165, 20, 61.65517241379311, 0.7837837837837837, 0.36274509803921573
0x003ca5df0f, Normal, 60, 165, 223, 15, 76.73076923076923, 0.8739495798319328, 0.4666666666666667
0x003cac4e41, Normal, 60, 172, 78, 65, 7.289719626168229, 0.4514767932489452, 0.4647058823529412
0x003cae635e, Normal, 60, 174, 99, 94, 3.7499999999999973, 0.3305785123966942, 0.5254901960784314
0x003caf9d6b, Normal, 60, 175, 157, 107, 44.117647058823536, 0.29824561403508776, 0.5529411764705883
0x003cafa2da, Normal, 60, 175, 162, 218, 253.92857142857144, 0.4307692307692308, 0.7450980392156863
0x003cb0435c, Normal, 60, 176, 67, 92, 346.23853211009174, 0.448559670781893, 0.4764705882352941
0x003cb580bd, Normal, 60, 181, 128, 189, 292.1311475409836, 0.3160621761658032, 0.6215686274509804
0x003cb8a9bd, Normal, 60, 184, 169, 189, 285, 0.13157894736842113, 0.7019607843137254
0x003cb954e9, Normal, 60, 185, 84, 233, 280.67114093959736, 0.772020725388601, 0.6215686274509804
0x003cba3fd9, Normal, 60, 186, 63, 217, 287.9220779220779, 0.6695652173913044, 0.5490196078431373
0x003cc1141d, Normal, 60, 193, 20, 29, 356.87861271676303, 0.8122065727699531, 0.41764705882352937
0x003cc61441, Normal, 60, 198, 20, 65, 344.8314606741573, 0.8165137614678898, 0.4274509803921569
0x003cc9d941, Normal, 60, 201, 217, 65, 66.3157894736842, 0.6666666666666667, 0.5529411764705883
0x003cca10d0, Normal, 60, 202, 16, 208, 298.125, 0.8571428571428571, 0.4392156862745098
0x003cca69e4, Normal, 60, 202, 105, 228, 287.3170731707317, 0.6949152542372883, 0.6529411764705882
0x003ccb7c97, Normal, 60, 203, 124, 151, 339.49367088607596, 0.4316939890710381, 0.6411764705882352
0x003ccd8281, Normal, 60, 205, 130, 129, 0.7894736842105233, 0.4318181818181819, 0.6549019607843137
0x003ccd9e52, Normal, 60, 205, 158, 82, 37.07317073170732, 0.5515695067264574, 0.5627450980392157
0x003ccecdb2, Normal, 60, 206, 205, 178, 57.85714285714286, 0.22222222222222232, 0.7529411764705882
0x003ccf8020, Normal, 60, 207, 128, 32, 32.91428571428572, 0.7322175732217573, 0.46862745098039216
0x003cd858a0, Normal, 60, 216, 88, 160, 326.25, 0.6213592233009708, 0.596078431372549
