row, id, palette, design, pose, facing, face, fur, color, hue, mint, timestamp, block
4000, 0x00286edc39, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Chartreuse, 100°, 23163, 2021-03-12 18:32:39 UTC, 12025322
4001, 0x002873a731, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Chartreuse, 86°, 20892, 2021-03-12 18:22:25 UTC, 12025275
4002, 0x0028776408, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Yellow, 50°, 19133, 2021-03-12 18:17:15 UTC, 12025240
4003, 0x00287abf3e, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Chartreuse, 92°, 15822, 2021-03-12 17:58:02 UTC, 12025155
4004, 0x00287b3188, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Magenta, 291°, 22576, 2021-03-12 18:31:16 UTC, 12025312
4005, 0x00287bb88d, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Teal, 138°, 24270, 2021-03-12 18:36:36 UTC, 12025342
4006, 0x00287cc431, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Chartreuse, 89°, 3790, 2018-03-11 22:49:23 UTC, 5238717
4007, 0x00287f2ddb, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Purple, 268°, 16034, 2021-03-12 17:59:45 UTC, 12025160
4008, 0x00287fb097, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Teal, 149°, 13842, 2021-03-12 17:46:55 UTC, 12025095
4009, 0x0028814cf3, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Purple, 259°, 6115, 2021-03-12 15:29:06 UTC, 12024463
4010, 0x0028876e36, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Orange, 41°, 2242, 2017-08-28 06:03:30 UTC, 4211899
4011, 0x0028881bc4, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Purple, 279°, 9460, 2021-03-12 17:18:07 UTC, 12024954
4012, 0x00288acb80, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Green, 112°, 3073, 2017-12-04 14:07:27 UTC, 4674541
4013, 0x00288bbcd4, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Sky Blue, 200°, 19678, 2021-03-12 18:18:53 UTC, 12025250
4014, 0x00288c949d, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Sky Blue, 212°, 4676, 2018-03-26 00:39:57 UTC, 5322235
4015, 0x0028925cda, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Purple, 266°, 20895, 2021-03-12 18:22:25 UTC, 12025275
4016, 0x002892ab14, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Yellow, 70°, 874, 2017-08-11 20:42:42 UTC, 4145776
4017, 0x002894f088, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Green, 113°, 1745, 2017-08-18 10:12:41 UTC, 4172896
4018, 0x0028970844, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Fuchsia, 335°, 20029, 2021-03-12 18:20:13 UTC, 12025257
4019, 0x002897a0df, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Blue, 233°, 6023, 2021-03-12 15:14:04 UTC, 12024404
4020, 0x002899221a, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 4°, 24033, 2021-03-12 18:36:06 UTC, 12025338
4021, 0x00289e60ed, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Purple, 266°, 16298, 2021-03-12 18:01:18 UTC, 12025168
4022, 0x0028a18358, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Orange, 35°, 7715, 2021-03-12 16:48:29 UTC, 12024829
4023, 0x0028a7c707, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Yellow, 70°, 7270, 2021-03-12 16:39:35 UTC, 12024784
4024, 0x0028ad29e7, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Purple, 282°, 24555, 2021-03-12 18:37:10 UTC, 12025347
4025, 0x0028adbe4a, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Yellow, 69°, 14911, 2021-03-12 17:53:15 UTC, 12025129
4026, 0x0028b18d95, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 347°, 22199, 2021-03-12 18:28:30 UTC, 12025304
4027, 0x0028b33f0f, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Orange, 18°, 7135, 2021-03-12 16:36:07 UTC, 12024767
4028, 0x0028b5c523, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Yellow, 66°, 12556, 2021-03-12 17:39:46 UTC, 12025058
4029, 0x0028bdb0d0, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Purple, 264°, 23883, 2021-03-12 18:35:39 UTC, 12025336
4030, 0x0028beeb55, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Chartreuse, 78°, 2278, 2017-08-28 20:38:51 UTC, 4213980
4031, 0x0028bf58ee, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Purple, 281°, 463, 2017-08-10 23:06:16 UTC, 4142096
4032, 0x0028c0b474, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Yellow, 51°, 21434, 2021-03-12 18:25:25 UTC, 12025288
4033, 0x0028c16366, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 358°, 10654, 2021-03-12 17:26:59 UTC, 12024999
4034, 0x0028ced31b, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Yellow, 62°, 3189, 2017-12-17 08:46:32 UTC, 4747603
4035, 0x0028d00935, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 347°, 13770, 2021-03-12 17:46:30 UTC, 12025092
4036, 0x0028da4807, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Orange, 18°, 15090, 2021-03-12 17:53:50 UTC, 12025133
4037, 0x0028dd2c6b, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Fuchsia, 339°, 7887, 2021-03-12 16:53:04 UTC, 12024846
4038, 0x0028dd791b, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Orange, 29°, 16014, 2021-03-12 17:59:45 UTC, 12025160
4039, 0x0028e09181, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 10°, 7445, 2021-03-12 16:43:37 UTC, 12024803
4040, 0x0028e53370, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Fuchsia, 339°, 2530, 2017-08-30 11:16:46 UTC, 4219656
4041, 0x0028e87dbd, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Fuchsia, 324°, 17790, 2021-03-12 18:12:24 UTC, 12025211
4042, 0x0028e900fa, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Magenta, 296°, 4124, 2018-03-20 22:03:28 UTC, 5291595
4043, 0x0028ec3040, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 355°, 18031, 2021-03-12 18:13:16 UTC, 12025216
4044, 0x0028f0eeeb, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Orange, 36°, 23702, 2021-03-12 18:34:26 UTC, 12025332
4045, 0x0028f1b0f6, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Magenta, 296°, 3432, 2018-01-22 22:50:09 UTC, 4954763
4046, 0x0028f36f6f, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 0°, 15421, 2021-03-12 17:56:05 UTC, 12025142
4047, 0x0028f4083d, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 347°, 19593, 2021-03-12 18:18:50 UTC, 12025249
4048, 0x0028f42881, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Fuchsia, 334°, 8962, 2021-03-12 17:08:29 UTC, 12024923
4049, 0x0028f5ffbd, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Yellow, 69°, 4349, 2018-03-22 06:30:16 UTC, 5299663
4050, 0x0028f6ceec, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Fuchsia, 315°, 19330, 2021-03-12 18:17:45 UTC, 12025244
4051, 0x0028fbdddf, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 356°, 22747, 2021-03-12 18:31:52 UTC, 12025315
4052, 0x0028fc895b, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Orange, 17°, 25142, 2021-03-12 18:39:23 UTC, 12025356
4053, 0x0028fd1439, Normal, 40, Standing, Left, Frown (Look Up), Eyepatch, Red, 350°, 20507, 2021-03-12 18:21:52 UTC, 12025268
4054, 0x002900424a, Normal, 41, Sleeping, Left, Frown (Look Up), Eyepatch, Cyan, 186°, 8693, 2021-03-12 17:04:33 UTC, 12024906
4055, 0x002901e1c1, Normal, 41, Sleeping, Left, Frown (Look Up), Eyepatch, Cyan, 171°, 17234, 2021-03-12 18:07:35 UTC, 12025195
4056, 0x0029024144, Normal, 41, Sleeping, Left, Frown (Look Up), Eyepatch, Cyan, 183°, 2941, 2017-11-28 00:56:20 UTC, 4634802
