row, id, palette, pattern, pose, facing, face, fur, color, r, g, b, hue, sat, lum, mint
12000, 0x0077bf0206, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Fuscia, 191, 2, 6, 358.73°, 97.93%, 37.84%, 8497
12001, 0x0077c00ddb, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Purple, 192, 13, 219, 292.14°, 88.79%, 45.49%, 11379
12002, 0x0077c15585, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Fuscia, 193, 85, 133, 333.33°, 46.55%, 54.51%, 10618
12003, 0x0077c20eca, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Purple, 194, 14, 202, 297.45°, 87.04%, 42.35%, 12786
12004, 0x0077c53c22, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Red, 197, 60, 34, 9.57°, 70.56%, 45.29%, 1565
12005, 0x0077c56b6e, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Fuscia, 197, 107, 110, 358.00°, 43.69%, 59.61%, 19490
12006, 0x0077c8278d, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Magenta, 200, 39, 141, 321.99°, 67.36%, 46.86%, 8350
12007, 0x0077c97836, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Red, 201, 120, 54, 26.94°, 57.65%, 50.00%, 14152
12008, 0x0077cc3e6a, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Fuscia, 204, 62, 106, 341.41°, 58.20%, 52.16%, 13238
12009, 0x0077cf3430, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Red, 207, 52, 48, 1.51°, 62.35%, 50.00%, 7274
12010, 0x0077d57735, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Red, 213, 119, 53, 24.75°, 65.57%, 52.16%, 23801
12011, 0x0077d8953b, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Orange, 216, 149, 59, 34.39°, 66.81%, 53.92%, 11383
12012, 0x0077da49ba, Normal, 55, Stalking, Right, Flat Whiskers, Striped, Magenta, 218, 73, 186, 313.24°, 66.21%, 57.06%, 14783
