id, palette, k, r, g, b, hue, sat, lum
0x0095e43a64, Inverted, 149, 228, 58, 100, 345.1764705882353, 0.7589285714285715, 0.5607843137254902
0x0095e47def, Inverted, 149, 228, 125, 239, 294.2105263157895, 0.7808219178082193, 0.7137254901960784
0x0095e7522c, Inverted, 149, 231, 82, 44, 12.192513368983958, 0.7957446808510639, 0.5392156862745098
0x0095e82c90, Inverted, 149, 232, 44, 144, 328.0851063829787, 0.8034188034188035, 0.5411764705882353
0x0095e836ce, Inverted, 149, 232, 54, 206, 308.76404494382024, 0.7946428571428571, 0.5607843137254902
0x0095ec8624, Inverted, 149, 236, 134, 36, 29.4, 0.8403361344537816, 0.5333333333333333
0x0095eea8d5, Inverted, 149, 238, 168, 213, 321.42857142857144, 0.6730769230769234, 0.7960784313725491
0x0095f15dc5, Inverted, 149, 241, 93, 197, 317.8378378378378, 0.8409090909090908, 0.6549019607843137
0x0095f2783b, Inverted, 149, 242, 120, 59, 20.000000000000004, 0.8755980861244018, 0.5901960784313726
0x0095f3204a, Inverted, 149, 243, 32, 74, 348.0568720379147, 0.8978723404255318, 0.5392156862745098
0x0095fcd2ff, Inverted, 149, 252, 210, 255, 296, 1, 0.9117647058823529
0x0095fe8ad8, Inverted, 149, 254, 138, 216, 319.6551724137931, 0.9830508474576269, 0.7686274509803921
0x0096000312, Inverted, 150, 0, 3, 18, 230, 1.0000000000000004, 0.03529411764705882
0x00960063de, Inverted, 150, 0, 99, 222, 213.24324324324323, 1, 0.43529411764705883
0x009601a31b, Inverted, 150, 1, 163, 27, 129.62962962962962, 0.9878048780487805, 0.32156862745098036
0x00960ab5ab, Inverted, 150, 10, 181, 171, 176.49122807017545, 0.8952879581151834, 0.37450980392156863
0x00960b9077, Inverted, 150, 11, 144, 119, 168.72180451127818, 0.8580645161290323, 0.30392156862745096
0x0096132ccc, Inverted, 150, 19, 44, 204, 231.8918918918919, 0.8295964125560539, 0.4372549019607843
0x0096149b74, Inverted, 150, 20, 155, 116, 162.66666666666669, 0.7714285714285712, 0.3431372549019608
0x009614de7c, Inverted, 150, 20, 222, 124, 150.8910891089109, 0.834710743801653, 0.4745098039215686
0x00961a2d5f, Inverted, 150, 26, 45, 95, 223.47826086956522, 0.5702479338842976, 0.2372549019607843
0x00961b503f, Inverted, 150, 27, 80, 63, 160.75471698113208, 0.4953271028037382, 0.20980392156862746
0x00961f9748, Inverted, 150, 31, 151, 72, 140.5, 0.6593406593406593, 0.3568627450980392
0x00961ff5df, Inverted, 150, 31, 245, 223, 173.8317757009346, 0.9145299145299145, 0.5411764705882353
0x009622e7f2, Inverted, 150, 34, 231, 242, 183.17307692307693, 0.8888888888888888, 0.5411764705882353
0x009626690f, Inverted, 150, 38, 105, 15, 104.66666666666667, 0.7499999999999999, 0.23529411764705882
0x009628f9e2, Inverted, 150, 40, 249, 226, 173.39712918660288, 0.9457013574660633, 0.5666666666666667
0x009629ad6e, Inverted, 150, 41, 173, 110, 151.36363636363635, 0.6168224299065421, 0.4196078431372549
0x00963259d1, Inverted, 150, 50, 89, 209, 225.2830188679245, 0.6334661354581673, 0.5078431372549019
0x009632f1d4, Inverted, 150, 50, 241, 212, 170.89005235602096, 0.8721461187214611, 0.5705882352941176
0x0096334ddc, Inverted, 150, 51, 77, 220, 230.76923076923077, 0.7071129707112972, 0.5313725490196078
0x0096337a02, Inverted, 150, 51, 122, 2, 95.5, 0.9677419354838709, 0.2431372549019608
0x0096348421, Inverted, 150, 52, 132, 33, 108.48484848484848, 0.6000000000000001, 0.3235294117647059
0x0096406439, Inverted, 150, 64, 100, 57, 110.23255813953489, 0.2738853503184713, 0.307843137254902
0x0096451343, Inverted, 150, 69, 19, 67, 302.4, 0.5681818181818181, 0.17254901960784313
0x009645c46e, Inverted, 150, 69, 196, 110, 139.37007874015748, 0.5183673469387756, 0.5196078431372549
0x00964a7fd2, Inverted, 150, 74, 127, 210, 216.61764705882354, 0.6017699115044247, 0.5568627450980392
0x00964f189a, Inverted, 150, 79, 24, 154, 265.3846153846154, 0.7303370786516854, 0.34901960784313724
0x00964f9fbd, Inverted, 150, 79, 159, 189, 196.36363636363637, 0.4545454545454546, 0.5254901960784314
0x00964fff22, Inverted, 150, 79, 255, 34, 107.78280542986425, 1, 0.5666666666666667
0x0096519a84, Inverted, 150, 81, 154, 132, 161.91780821917808, 0.31063829787234043, 0.46078431372549017
0x009652e566, Inverted, 150, 82, 229, 102, 128.16326530612247, 0.7386934673366835, 0.6098039215686275
0x009655b936, Inverted, 150, 85, 185, 54, 105.80152671755725, 0.5481171548117154, 0.46862745098039216
0x00965cabca, Inverted, 150, 92, 171, 202, 196.9090909090909, 0.5092592592592592, 0.5764705882352941
0x00966219ad, Inverted, 150, 98, 25, 173, 269.5945945945946, 0.7474747474747475, 0.38823529411764707
0x00966424fc, Inverted, 150, 100, 36, 252, 257.77777777777777, 0.972972972972973, 0.5647058823529412
0x009665bf3a, Inverted, 150, 101, 191, 58, 100.6015037593985, 0.534136546184739, 0.48823529411764705
0x0096695780, Inverted, 150, 105, 87, 128, 266.3414634146341, 0.19069767441860463, 0.4215686274509804
0x00966fe1ec, Inverted, 150, 111, 225, 236, 185.28, 0.7668711656441719, 0.6803921568627451
0x0096702822, Inverted, 150, 112, 40, 34, 4.615384615384615, 0.5342465753424658, 0.28627450980392155
0x0096704741, Inverted, 150, 112, 71, 65, 7.659574468085114, 0.26553672316384186, 0.34705882352941175
0x009672e509, Inverted, 150, 114, 229, 9, 91.36363636363636, 0.9243697478991597, 0.4666666666666667
0x00967478d0, Inverted, 150, 116, 120, 208, 237.39130434782606, 0.49462365591397844, 0.6352941176470588
0x00967c1fd2, Inverted, 150, 124, 31, 210, 271.1731843575419, 0.7427385892116182, 0.4725490196078431
0x00967e76ad, Inverted, 150, 126, 118, 173, 248.72727272727272, 0.2511415525114155, 0.5705882352941176
0x00967e8de3, Inverted, 150, 126, 141, 227, 231.08910891089107, 0.6433121019108279, 0.692156862745098
0x009680377b, Inverted, 150, 128, 55, 123, 304.1095890410959, 0.3989071038251366, 0.3588235294117647
0x00968058a2, Inverted, 150, 128, 88, 162, 272.4324324324324, 0.296, 0.49019607843137253
0x0096829148, Inverted, 150, 130, 145, 72, 72.32876712328766, 0.33640552995391704, 0.42549019607843136
0x009682abbb, Inverted, 150, 130, 171, 187, 196.8421052631579, 0.29533678756476683, 0.6215686274509804
0x009687ed58, Inverted, 150, 135, 237, 88, 101.0738255033557, 0.8054054054054054, 0.6372549019607843
0x00968ab936, Inverted, 150, 138, 185, 54, 81.52671755725191, 0.5481171548117154, 0.46862745098039216
0x00968bff95, Inverted, 150, 139, 255, 149, 125.17241379310346, 0.9999999999999998, 0.7725490196078431
0x00968f3542, Inverted, 150, 143, 53, 66, 351.3333333333333, 0.4591836734693877, 0.3843137254901961
0x0096a43f5e, Inverted, 150, 164, 63, 94, 341.58415841584156, 0.44493392070484583, 0.4450980392156863
0x0096a447e9, Inverted, 150, 164, 71, 233, 274.44444444444446, 0.7864077669902912, 0.596078431372549
0x0096a5b455, Inverted, 150, 165, 180, 85, 69.47368421052632, 0.3877551020408164, 0.5196078431372549
0x0096a7229d, Inverted, 150, 167, 34, 157, 304.5112781954887, 0.6616915422885573, 0.3941176470588235
0x0096aaaa66, Inverted, 150, 170, 170, 102, 60, 0.28571428571428564, 0.5333333333333333
0x0096ae945b, Inverted, 150, 174, 148, 91, 41.20481927710844, 0.3387755102040817, 0.5196078431372549
0x0096afc71f, Inverted, 150, 175, 199, 31, 68.57142857142857, 0.7304347826086957, 0.45098039215686275
0x0096b47fac, Inverted, 150, 180, 127, 172, 309.0566037735849, 0.26108374384236466, 0.6019607843137256
0x0096b5603c, Inverted, 150, 181, 96, 60, 17.851239669421485, 0.5020746887966806, 0.4725490196078431
0x0096b8c712, Inverted, 150, 184, 199, 18, 64.97237569060773, 0.8341013824884793, 0.42549019607843136
0x0096bbcc0f, Inverted, 150, 187, 204, 15, 65.39682539682542, 0.863013698630137, 0.4294117647058824
0x0096bdf309, Inverted, 150, 189, 243, 9, 73.84615384615385, 0.9285714285714286, 0.4941176470588235
0x0096c306b3, Inverted, 150, 195, 6, 179, 305.07936507936506, 0.9402985074626865, 0.3941176470588235
